"fixed OR","1","2","3","4","5","6","7","8"
"Mixed estimates","--","--","--","--","--","--","--","--"
"A:B",34.7674,26.9526,7.1429,11.9971,0,0,11.5575,7.5825
"A:C",7.9427,6.1573,26.795,45.005,0,0,8.5141,5.5859
"A:D",0,0,0,0,50.6586,49.3414,0,0
"B:C",9.4411,7.3189,6.2547,10.5053,0,0,40.1432,26.3368
"Indirect estimates","--","--","--","--","--","--","--","--"
"B:D",17.3837,13.4763,4.7619,7.9981,22.0973,21.5227,7.705,5.055
"C:D",5.2951,4.1049,13.3975,22.5025,22.9483,22.3517,5.6761,3.7239
